course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,revenue,yaer,year
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,True,200,2147,23.0,51.0,All Levels,1.5,2017-01-18 20:58:58+00:00,Business Finance,429400,2017,2017
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923.0,274.0,All Levels,,2017-03-09 16:34:20+00:00,Business Finance,209400,2017,2017
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,True,95,2451,11.0,36.0,All Levels,3.0,2017-05-30 20:07:24+00:00,Business Finance,232845,2017,2017
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,True,200,827,14.0,15.0,All Levels,1.0,2017-04-18 18:13:32+00:00,Business Finance,165400,2017,2017
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19.0,42.0,All Levels,7.0,2017-04-28 16:41:44+00:00,Business Finance,58800,2017,2017
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,True,200,809,3.0,25.0,All Levels,2.0,2017-06-06 02:54:04+00:00,Business Finance,161800,2017,2017
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,True,140,1026,25.0,37.0,Beginner Level,3.0,2017-06-27 22:21:31+00:00,Business Finance,143640,2017,2017
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95,1165,21.0,41.0,Beginner Level,2.5,2017-05-28 23:41:03+00:00,Business Finance,110675,2017,2017
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,True,200,1030,11.0,,All Levels,2.0,2017-06-01 05:22:08+00:00,Business Finance,206000,2017,2017
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,True,200,1041,,28.0,All Levels,1.5,2017-06-11 19:02:03+00:00,Business Finance,208200,2017,2017
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,True,195,3811,278.0,103.0,All Levels,6.5,2017-03-30 22:17:09+00:00,Business Finance,743145,2017,2017
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,True,195,4991,137.0,79.0,Beginner Level,11.5,2017-03-29 22:36:05+00:00,Business Finance,973245,2017,2017
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,True,95,367,42.0,35.0,All Levels,5.0,2017-06-21 23:18:47+00:00,Business Finance,34865,2017,2017
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,True,190,1197,11.0,46.0,All Levels,,2017-05-24 23:02:07+00:00,Business Finance,227430,2017,2017
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,True,200,1580,12.0,53.0,Expert Level,2.0,2017-05-02 21:20:54+00:00,Business Finance,316000,2017,2017
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,True,30,6219,23.0,20.0,All Levels,1.0,2017-02-14 04:42:58+00:00,Business Finance,186570,2017,2017
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,True,200,1113,11.0,17.0,All Levels,1.5,2017-04-02 21:46:00+00:00,Business Finance,222600,2017,2017
1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,True,20,936,6.0,11.0,Intermediate Level,1.5,2017-04-11 00:59:50+00:00,Business Finance,18720,2017,2017
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,True,200,658,2.0,19.0,All Levels,1.0,2017-06-02 18:12:45+00:00,Business Finance,131600,2017,2017
1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,True,200,1793,,15.0,All Levels,1.0,2017-03-03 21:43:05+00:00,Business Finance,358600,2017,2017
